"id","osservazione_categoria_id/id","indice_osservazione","vincolante","name"
"__export__.gevi_verbali_osservazione_1","__export__.gevi_verbali_osservazione_categoria_1","1","True","Funi eccessivamente usurate o n. di fili rotti eccessivo (sezione fili rotti 10% della sezione iniziale)"
"__export__.gevi_verbali_osservazione_2","__export__.gevi_verbali_osservazione_categoria_1","2","True","Scorrimento tra funi e puleggia eccessivo"
"__export__.gevi_verbali_osservazione_3","__export__.gevi_verbali_osservazione_categoria_1","3","True","Freno mal funzionante o inaffidabile"
"__export__.gevi_verbali_osservazione_4","__export__.gevi_verbali_osservazione_categoria_1","4","True","Eccessivo gioco vite senza fine/corona (da verificare con quanto riportato sul libretto dell’argano)"
"__export__.gevi_verbali_osservazione_5","__export__.gevi_verbali_osservazione_categoria_1","5","False","Le funi di trazione presentano segni di usura"
"__export__.gevi_verbali_osservazione_6","__export__.gevi_verbali_osservazione_categoria_1","6","False","Scorrimento funi non trascurabile, ma comunque nei limiti normativi"
"__export__.gevi_verbali_osservazione_7","__export__.gevi_verbali_osservazione_categoria_1","7","False","Le funi presentano eccessiva aderenza"
"__export__.gevi_verbali_osservazione_8","__export__.gevi_verbali_osservazione_categoria_1","8","False","I segni previsti sulle funi non sono adeguatamente evidenziati"
"__export__.gevi_verbali_osservazione_9","__export__.gevi_verbali_osservazione_categoria_1","9","False","Tensionamento funi non uniforme"
"__export__.gevi_verbali_osservazione_10","__export__.gevi_verbali_osservazione_categoria_1","10","False","Cuscinetti argano rumorosi"
"__export__.gevi_verbali_osservazione_11","__export__.gevi_verbali_osservazione_categoria_1","11","False","La puleggia di frizione è usurata"
"__export__.gevi_verbali_osservazione_12","__export__.gevi_verbali_osservazione_categoria_1","12","False","Perdite olio dal gruppo motore/argano"
"__export__.gevi_verbali_osservazione_13","__export__.gevi_verbali_osservazione_categoria_1","13","False","Gioco vite senza fine/corona non trascurabile"
"__export__.gevi_verbali_osservazione_14","__export__.gevi_verbali_osservazione_categoria_2","1","True","Il dispositivo di blocco delle porte di piano non funziona correttamente"
"__export__.gevi_verbali_osservazione_15","__export__.gevi_verbali_osservazione_categoria_2","2","True","Fotocellula/costola mobile non funziona (specificare)"
"__export__.gevi_verbali_osservazione_16","__export__.gevi_verbali_osservazione_categoria_2","3","True","Il dispositivo di extracorsa sup./inf (specificare) non interviene"
"__export__.gevi_verbali_osservazione_17","__export__.gevi_verbali_osservazione_categoria_2","4","True","Controllo elettrico delle porte di cabina non funziona"
"__export__.gevi_verbali_osservazione_18","__export__.gevi_verbali_osservazione_categoria_2","5","False","Fotocellula/costola mobile non pienamente efficiente (specificare)"
"__export__.gevi_verbali_osservazione_19","__export__.gevi_verbali_osservazione_categoria_2","6","False","A seguito della sostituzione dei dispositivi di blocco gli stessi sono sprovvisti della chiave di emergenza"
"__export__.gevi_verbali_osservazione_20","__export__.gevi_verbali_osservazione_categoria_2","7","False","Giochi/spazi delle porte di piano e/o cabina non regolamentari (specificare)"
"__export__.gevi_verbali_osservazione_21","__export__.gevi_verbali_osservazione_categoria_2","8","False","Dispositivo di sblocco delle porte di piano non regolamentare"
"__export__.gevi_verbali_osservazione_22","__export__.gevi_verbali_osservazione_categoria_2","9","False","Distanza tra c/peso e/o cabina e ammortizzatore, a seguito dell’intervento dell’interruttore di extra corsa, ridotta"
"__export__.gevi_verbali_osservazione_23","__export__.gevi_verbali_osservazione_categoria_3","1","True","Nelle difese sono presenti aperture pericolose"
"__export__.gevi_verbali_osservazione_24","__export__.gevi_verbali_osservazione_categoria_3","2","False","Difese del vano non conformi al DM 587/87 allegato 2"
"__export__.gevi_verbali_osservazione_25","__export__.gevi_verbali_osservazione_categoria_3","3","False","Rischio di caduta dal tetto di cabina non trascurabile"
"__export__.gevi_verbali_osservazione_26","__export__.gevi_verbali_osservazione_categoria_3","4","False","Distanza tra paramento soglia cabina e vano di corsa non regolamentare"
"__export__.gevi_verbali_osservazione_27","__export__.gevi_verbali_osservazione_categoria_4","1","True","L’isolamento dei circuiti elettrici (specificare) è inferiore ai limiti ammessi"
"__export__.gevi_verbali_osservazione_28","__export__.gevi_verbali_osservazione_categoria_4","2","True","Il dispositivo contro il guasto a terra è inefficiente"
"__export__.gevi_verbali_osservazione_29","__export__.gevi_verbali_osservazione_categoria_4","3","True","Interruttori differenziali mancanti o inefficienti"
"__export__.gevi_verbali_osservazione_30","__export__.gevi_verbali_osservazione_categoria_4","4","False","Il quadro di manovra presenta segni di usura"
"__export__.gevi_verbali_osservazione_31","__export__.gevi_verbali_osservazione_categoria_4","5","False","Cavi flessibili di vano vetusti"
"__export__.gevi_verbali_osservazione_32","__export__.gevi_verbali_osservazione_categoria_4","6","False","La reperibilità della chiave per visionare gli interruttori differenziali a valle dei contatori non è stata agevole"
"__export__.gevi_verbali_osservazione_33","__export__.gevi_verbali_osservazione_categoria_4","7","False","Quadro di manovra vetusto e valori di isolamento, seppur nella norma, ridotti"
"__export__.gevi_verbali_osservazione_34","__export__.gevi_verbali_osservazione_categoria_5","1","True","Il paracadute non interviene alla prova"
"__export__.gevi_verbali_osservazione_35","__export__.gevi_verbali_osservazione_categoria_5","2","True","Il contatto di arcata non arresta la manovra"
"__export__.gevi_verbali_osservazione_36","__export__.gevi_verbali_osservazione_categoria_5","3","False","Contatto arcata non a riarmo manuale"
"__export__.gevi_verbali_osservazione_37","__export__.gevi_verbali_osservazione_categoria_6","1","True","Il limitatore non interviene durante la prova"
"__export__.gevi_verbali_osservazione_38","__export__.gevi_verbali_osservazione_categoria_6","2","True","La fune del limitatore scorre causando il mancato intervento del paracadute"
"__export__.gevi_verbali_osservazione_39","__export__.gevi_verbali_osservazione_categoria_6","3","True","Non è stato possibile eseguire la prova del limitatore"
"__export__.gevi_verbali_osservazione_40","__export__.gevi_verbali_osservazione_categoria_6","4","True","Il contatto del limitatore non arresta la manovra"
"__export__.gevi_verbali_osservazione_41","__export__.gevi_verbali_osservazione_categoria_6","5","False","Pur avendo funzionato alla prova il limitatore di velocità è vetusto/usurato/non omologato/poco affidabile (specificare)"
"__export__.gevi_verbali_osservazione_42","__export__.gevi_verbali_osservazione_categoria_6","6","False","Tenditore vetusto/usurato/poco affidabile (specificare)"
"__export__.gevi_verbali_osservazione_43","__export__.gevi_verbali_osservazione_categoria_6","7","False","Funicella limitatore usurata e/o presenta fili rotti"
"__export__.gevi_verbali_osservazione_44","__export__.gevi_verbali_osservazione_categoria_6","8","False","Carter limitatore di velocità mancante"
"__export__.gevi_verbali_osservazione_45","__export__.gevi_verbali_osservazione_categoria_7","1","True","Bidirezionale non assolve al suo scopo"
"__export__.gevi_verbali_osservazione_46","__export__.gevi_verbali_osservazione_categoria_7","2","True","Allarme non funziona"
"__export__.gevi_verbali_osservazione_47","__export__.gevi_verbali_osservazione_categoria_7","3","False","Livello di carica della batteria allarme non ottimale"
"__export__.gevi_verbali_osservazione_48","__export__.gevi_verbali_osservazione_categoria_7","4","False","Comunicazione bidirezionale disturbata/intermittente (specificare)"
"__export__.gevi_verbali_osservazione_49","__export__.gevi_verbali_osservazione_categoria_7","5","False","Allarme non udibile in tutti gli ambienti"
"__export__.gevi_verbali_osservazione_50","__export__.gevi_verbali_osservazione_categoria_7","6","False","La telefonata di soccorso, effettuata alle ore _____, alla presenza del tecnico della ditta manutentrice, ha avuto esito positivo"
"__export__.gevi_verbali_osservazione_51","__export__.gevi_verbali_osservazione_categoria_7","7","False","Impianto installato in struttura alberghiera/ospedaliera/altro (specificare) con bidirezionale collegato nella reception presidiata 24h/24, 7gg/7, 365 gg all’anno. La telefonata effettuata alle ore ______, alla presenza del tecnico della ditta di manutenzione, ha avuto esito positivo"
"__export__.gevi_verbali_osservazione_52","__export__.gevi_verbali_osservazione_categoria_8","1","True","Ripescaggio non funziona"
"__export__.gevi_verbali_osservazione_53","__export__.gevi_verbali_osservazione_categoria_9","1","True","Valvola di blocco non interviene alla prova"
"__export__.gevi_verbali_osservazione_54","__export__.gevi_verbali_osservazione_categoria_10","1","True","La valvola di sovrapressione non funziona"
"__export__.gevi_verbali_osservazione_55","__export__.gevi_verbali_osservazione_categoria_10","2","False","Il manometro manca/non è efficiente (specificare)"
"__export__.gevi_verbali_osservazione_56","__export__.gevi_verbali_osservazione_categoria_10","3","False","Perdite di olio dal gruppo valvole/testa cilindro, etc.. (specificare)"
"__export__.gevi_verbali_osservazione_57","__export__.gevi_verbali_osservazione_categoria_11","1","False","Il tubo flessibile è scaduto (solo impianti pre DPR 268/94)"
"__export__.gevi_verbali_osservazione_58","__export__.gevi_verbali_osservazione_categoria_11","2","False","La tubazione presenta segni di danneggiamento e/o corrosione"
"__export__.gevi_verbali_osservazione_59","__export__.gevi_verbali_osservazione_categoria_12","1","True","Non è presente il libretto (senza evidenza del collaudo)"
"__export__.gevi_verbali_osservazione_60","__export__.gevi_verbali_osservazione_categoria_12","2","False","Targa di cabina assente e/o numero di matricola non riportato sulla targa"
"__export__.gevi_verbali_osservazione_61","__export__.gevi_verbali_osservazione_categoria_12","3","False","Non sono presenti le istruzioni per la manovra di emergenza"
"__export__.gevi_verbali_osservazione_62","__export__.gevi_verbali_osservazione_categoria_12","4","False","Gli schemi elettrici e/o idraulici non sono presenti o aggiornati (specificare)"
"__export__.gevi_verbali_osservazione_63","__export__.gevi_verbali_osservazione_categoria_12","5","False","Il libretto è assente, ma risulta l’evidenza del collaudo (rendere disponibile)"
"__export__.gevi_verbali_osservazione_64","__export__.gevi_verbali_osservazione_categoria_12","6","False","Copia delle comunicazioni con il Comune per la messa in esercizio dell’impianto, mancante (matricola impianto presente)"
"__export__.gevi_verbali_osservazione_65","__export__.gevi_verbali_osservazione_categoria_12","7","False","Nel libretto non sono aggiornati i risultati delle verifiche semestrali del manutentore (art 15 DPR 162/99 e s.m.i.)"
"__export__.gevi_verbali_osservazione_66","__export__.gevi_verbali_osservazione_categoria_12","8","False","Impianto in attesa di assegnazione del numero di matricola da parte del comune. Richiesta effettuata il _______ con ________ prot. ____________ (specificare)"
"__export__.gevi_verbali_osservazione_67","__export__.gevi_verbali_osservazione_categoria_13","1","True","L’accesso al locale macchinario avviene attraverso luoghi privati"
"__export__.gevi_verbali_osservazione_68","__export__.gevi_verbali_osservazione_categoria_13","2","False","Citofono fra cabina e locale macchinario non efficiente"
"__export__.gevi_verbali_osservazione_69","__export__.gevi_verbali_osservazione_categoria_13","3","False","Rischio di caduta oggetti dal locale macchina al vano di corsa non trascurabile (fori funi e/o cavi) (specificare)"
"__export__.gevi_verbali_osservazione_70","__export__.gevi_verbali_osservazione_categoria_13","4","False","Griglia aerazione locale macchinario mancante"
"__export__.gevi_verbali_osservazione_71","__export__.gevi_verbali_osservazione_categoria_13","5","False","Mancano i cartelli regolamentari sulla porta del locale macchinario/rinvii"
"__export__.gevi_verbali_osservazione_72","__export__.gevi_verbali_osservazione_categoria_13","6","False","Accesso al locale macchinario ostruito da ostacoli"
"__export__.gevi_verbali_osservazione_73","__export__.gevi_verbali_osservazione_categoria_13","7","False","Nel locale macchinario sono presenti materiali/apparecchiature estranee (specificare)"
"__export__.gevi_verbali_osservazione_74","__export__.gevi_verbali_osservazione_categoria_13","8","False","Illuminamento percorso accesso locale macchinario inadeguato"
"__export__.gevi_verbali_osservazione_75","__export__.gevi_verbali_osservazione_categoria_13","9","False","Dispositivo di chiusura della porta del locale del macchinario non regolamentare"
"__export__.gevi_verbali_osservazione_76","__export__.gevi_verbali_osservazione_categoria_13","10","False","Illuminamento locale macchinario/pulegge di rinvio inadeguato (specificare)"
"__export__.gevi_verbali_osservazione_77","__export__.gevi_verbali_osservazione_categoria_13","11","False","Infiltrazioni di acqua nel locale macchinario/ pulegge di rinvio (specificare ove occorre) "
"__export__.gevi_verbali_osservazione_78","__export__.gevi_verbali_osservazione_categoria_13","12","False","Le chiavi di accesso al locale macchinario/pulegge di rinvio sono di difficile reperibilità (specificare)"
"__export__.gevi_verbali_osservazione_79","__export__.gevi_verbali_osservazione_categoria_13","13","False","Il locale macchinario/pulegge di rinvio versa in condizioni igieniche precarie (specificare)"
"__export__.gevi_verbali_osservazione_80","__export__.gevi_verbali_osservazione_categoria_13","14","False","Manca lampada portatile di sicurezza"
"__export__.gevi_verbali_osservazione_81","__export__.gevi_verbali_osservazione_categoria_13","15","False","La servitù di passaggio nel locale macchine non risulta adeguatamente delimitata."
"__export__.gevi_verbali_osservazione_82","__export__.gevi_verbali_osservazione_categoria_13","16","False","Pulsante di accensione luce locale macchine non regolamentare"
"__export__.gevi_verbali_osservazione_83","__export__.gevi_verbali_osservazione_categoria_13","17","False","Nel locale del macchinario/vano di corsa manca gancio per sollevamento materiali pesanti (specificare)"
"__export__.gevi_verbali_osservazione_84","__export__.gevi_verbali_osservazione_categoria_13","18","False","Portata gancio nel locale macchine/vano di corsa non specificata"
"__export__.gevi_verbali_osservazione_85","__export__.gevi_verbali_osservazione_categoria_13","19","False","Luce di emergenza locale macchinario mancante/non funzionante (specificare)"
"__export__.gevi_verbali_osservazione_86","__export__.gevi_verbali_osservazione_categoria_13","20","False","Linee elettriche forza motrice e luce, a valle dei contatori, non correttamente separate"
"__export__.gevi_verbali_osservazione_87","__export__.gevi_verbali_osservazione_categoria_13","21","False","Parapetto gradino nel locale del macchinario non regolamentare"
"__export__.gevi_verbali_osservazione_88","__export__.gevi_verbali_osservazione_categoria_14","1","True","E’ presente acqua in fossa a livello apparecchiature"
"__export__.gevi_verbali_osservazione_89","__export__.gevi_verbali_osservazione_categoria_14","2","True","Non sono presenti/efficienti i dispositivi atti a garantire i volumi rifugio alle estremità del vano corsa"
"__export__.gevi_verbali_osservazione_90","__export__.gevi_verbali_osservazione_categoria_14","3","True","Il dispositivo di arresto o la pulsantiera, previsti nel locale rinvii, fossa, testata, non funziona regolarmente o è collocato in posizione non regolare (specificare)"
"__export__.gevi_verbali_osservazione_91","__export__.gevi_verbali_osservazione_categoria_14","4","True","La piattaforma per disabili è mantenuta in esercizio in modalità automatica e non esclusivamente ad 'uomo presente'"
"__export__.gevi_verbali_osservazione_92","__export__.gevi_verbali_osservazione_categoria_14","5","True","Lo sbarco avviene in luogo o locale chiuso non dotato di allarme"
"__export__.gevi_verbali_osservazione_93","__export__.gevi_verbali_osservazione_categoria_14","6","False","Il dislivello al piano risulta non trascurabile"
"__export__.gevi_verbali_osservazione_94","__export__.gevi_verbali_osservazione_categoria_14","7","False","E’ presente acqua in fossa non a livello apparecchiature"
"__export__.gevi_verbali_osservazione_95","__export__.gevi_verbali_osservazione_categoria_14","8","False","Manca scaletta in fossa"
"__export__.gevi_verbali_osservazione_96","__export__.gevi_verbali_osservazione_categoria_14","9","False","Illuminamento cabina inadeguato o non funzionante (specificare) "
"__export__.gevi_verbali_osservazione_97","__export__.gevi_verbali_osservazione_categoria_14","10","False","Luce emergenza di cabina assente o non funzionante"
"__export__.gevi_verbali_osservazione_98","__export__.gevi_verbali_osservazione_categoria_14","11","False","La segnalazione di cabina al piano non esiste o non funziona (specificare)"
"__export__.gevi_verbali_osservazione_99","__export__.gevi_verbali_osservazione_categoria_14","12","False","La fossa/tetto di cabina, etc.. versa in condizioni igieniche precarie (specificare)"
"__export__.gevi_verbali_osservazione_100","__export__.gevi_verbali_osservazione_categoria_14","13","False","Presenti rifiuti in fossa/su tetto cabina, etc.. (specificare)"
"__export__.gevi_verbali_osservazione_101","__export__.gevi_verbali_osservazione_categoria_14","14","False","Illuminamento del vano ascensore inadeguata"
"__export__.gevi_verbali_osservazione_102","__export__.gevi_verbali_osservazione_categoria_14","15","False","Il quadretto di distribuzione elettrica è obsoleto"
"__export__.gevi_verbali_osservazione_103","__export__.gevi_verbali_osservazione_categoria_14","16","False","Bottoniera di manutenzione usurata"
"__export__.gevi_verbali_osservazione_104","__export__.gevi_verbali_osservazione_categoria_14","17","False","Pattini/rulli di cabina/contrappeso usurati (specificare)"
"__export__.gevi_verbali_osservazione_105","__export__.gevi_verbali_osservazione_categoria_14","18","False","Bordiglioni allentati"
"__export__.gevi_verbali_osservazione_106","__export__.gevi_verbali_osservazione_categoria_14","19","False","Il dispositivo di ritorno al piano in emergenza, pur avendo funzionato alla prova, non è pienamente efficiente, si raccomanda la sostituzione delle batterie"
"__export__.gevi_verbali_osservazione_107","__export__.gevi_verbali_osservazione_categoria_14","20","False","Posizione STOP in fossa non regolamentare"
"__export__.gevi_verbali_osservazione_108","__export__.gevi_verbali_osservazione_categoria_14","21","False","Posizione deviatore luci in fossa non regolamentare"
"__export__.gevi_verbali_osservazione_109","__export__.gevi_verbali_osservazione_categoria_14","22","False","Lampada in fossa non regolamentare / assente (specificare)"
"__export__.gevi_verbali_osservazione_110","__export__.gevi_verbali_osservazione_categoria_14","23","False","Griglia aerazione vano di corsa mancante"
"__export__.gevi_verbali_osservazione_111","__export__.gevi_verbali_osservazione_categoria_14","24","False","Aerazione vano di corsa non regolamentare"
"__export__.gevi_verbali_osservazione_112","__export__.gevi_verbali_osservazione_categoria_14","25","False","Interruttore sotto vetro vetusto/usurato (specificare)"
"__export__.gevi_verbali_osservazione_113","__export__.gevi_verbali_osservazione_categoria_14","26","False","Protezione interruttore sotto vetro inadeguata"
"__export__.gevi_verbali_osservazione_114","__export__.gevi_verbali_osservazione_categoria_14","27","False","Bottoniera di cabina usurata"
"__export__.gevi_verbali_osservazione_115","__export__.gevi_verbali_osservazione_categoria_14","28","False","Superficie vetrata delle porte di piano non regolamentare"
"__export__.gevi_verbali_osservazione_116","__export__.gevi_verbali_osservazione_categoria_14","29","False","Display di cabina rotto/non funzionante"
"__export__.gevi_verbali_osservazione_117","__export__.gevi_verbali_osservazione_categoria_14","30","False","Operatore porte di cabina vetusto"
"__export__.gevi_verbali_osservazione_118","__export__.gevi_verbali_osservazione_categoria_14","31","False","Dispositivi elettrici di sicurezza sportelli di ispezione del contrappeso assenti"
"__export__.gevi_verbali_osservazione_119","__export__.gevi_verbali_osservazione_categoria_14","32","False","Tanica raccolta olio di recupero pistone mancante"
